,flux,flux_err,mag,mag_err,jd,band,sub,site,phase,filter
226,5.27674989653941e-17,1.1235089884381578e-17,19.616537771031147,0.23117185600340168,2459043.8753935,V,True,88,49.24539350019768,V
227,5.2154045506006637e-17,1.184270542351543e-17,19.629234308824167,0.2465401238978156,2459044.8753935,V,True,88,50.24539350019768,V
228,5.085693275399616e-17,1.1293947432711421e-17,19.656579576416004,0.2411115581462898,2459045.8753935,V,True,88,51.24539350019768,V
229,4.913608799752782e-17,9.246441547877795e-18,19.69395380557793,0.20431053298912694,2459046.8753935,V,True,88,52.24539350019768,V
230,4.7602099309132096e-17,5.8391106989436154e-18,19.72838948368959,0.13317773302889824,2459047.8753935,V,True,88,53.24539350019768,V
231,4.6541102263224915e-17,3.0585031724771173e-18,19.752862731172815,0.07134969220125331,2459048.8753935,V,True,88,54.24539350019768,V
232,4.5615229469053086e-17,4.383928335617974e-18,19.774679787302166,0.10434854630153444,2459049.8753935,V,True,88,55.24539350019768,V
233,4.469591406729607e-17,6.027369642065061e-18,19.796784765883288,0.14641562481286488,2459050.8753935,V,True,88,56.24539350019768,V
234,4.406222703795742e-17,6.903432881384963e-18,19.81228805077721,0.17010775271152534,2459051.8753935,V,True,88,57.24539350019768,V
235,4.339579384080053e-17,7.460801032182999e-18,19.8288352535944,0.18666521594975813,2459052.8753935,V,True,88,58.24539350019768,V
236,4.251239623208184e-17,8.001835359421054e-18,19.851165454031793,0.20436193176176715,2459053.8753935,V,True,88,59.24539350019768,V
237,4.1825921497603144e-17,8.759326574328232e-18,19.86884035248539,0.22737908471788246,2459054.8753935,V,True,88,60.24539350019768,V
238,4.149461506599534e-17,9.416880670473135e-18,19.877474670858287,0.2463995240643589,2459055.8753935,V,True,88,61.24539350019768,V
239,4.1445781600975516e-17,9.914315732386663e-18,19.87875316811313,0.25972074201298984,2459056.8753935,V,True,88,62.24539350019768,V
240,4.1584651771612614e-17,1.1331919361398767e-17,19.8751213354158,0.2958654505612954,2459057.8753935,V,True,88,63.24539350019768,V
241,4.1494637584142795e-17,1.5009299004947912e-17,19.877474128609673,0.3927307401391929,2459058.8753935,V,True,88,64.24539350019768,V
242,4.078952264479166e-17,2.0326545329273742e-17,19.896083110368185,0.5410600378683027,2459059.8753935,V,True,88,65.24539350019768,V
243,3.9364241450810584e-17,2.553015376808456e-17,19.934701253900535,0.7041804343119509,2459060.8753935,V,True,88,66.24539350019768,V
244,3.7346796399645826e-17,2.9234265615925584e-17,19.99182416990339,0.8499050643516614,2459061.8753935,V,True,88,67.24539350019768,V
245,3.501355795852218e-17,3.0660060547956587e-17,20.061868031962444,0.9507475337234628,2459062.8753935,V,True,88,68.24539350019768,V
246,3.270392231346356e-17,2.957505741529211e-17,20.13595891275719,0.9818600958187413,2459063.8753935,V,True,88,69.24539350019768,V
247,3.0744582759805277e-17,2.622132202752837e-17,20.20303559583605,0.9259883780970012,2459064.8753935,V,True,88,70.24539350019768,V
248,2.938400435803243e-17,2.130319805911309e-17,20.252177768696665,0.7871402689251948,2459065.8753935,V,True,88,71.24539350019768,V
249,2.876734796057057e-17,1.610854432794523e-17,20.275204507855033,0.6079653117950247,2459066.8753935,V,True,88,72.24539350019768,V
250,2.890370930961684e-17,1.2451996089178898e-17,20.270070294964874,0.4677484848375794,2459067.8753935,V,True,88,73.24539350019768,V
251,2.9585636151589485e-17,1.1240695807930576e-17,20.244752492421625,0.4125132805133464,2459068.8753935,V,True,88,74.24539350019768,V
252,3.044446529103894e-17,1.1221180414385907e-17,20.213683970560133,0.40017962806175467,2459069.8753935,V,True,88,75.24539350019768,V
253,3.139832068882862e-17,1.1310504924163982e-17,20.180189065290634,0.3911115112505272,2459070.8753935,V,True,88,76.24539350019768,V
254,3.246999473892285e-17,1.1404135514515311e-17,20.143749388882217,0.3813335313637392,2459071.8753935,V,True,88,77.24539350019768,V
255,3.3119322162359645e-17,1.1522634400655765e-17,20.12225047215286,0.37774144382141467,2459072.8753935,V,True,88,78.24539350019768,V
256,3.3016500247669044e-17,1.168189175542864e-17,20.125626537901606,0.3841551636164756,2459073.8753935,V,True,88,79.24539350019768,V
257,3.250092289839565e-17,1.1749803535246966e-17,20.142715124827603,0.392517950905911,2459074.8753935,V,True,88,80.24539350019768,V
258,3.17946435844903e-17,1.1735249358048402e-17,20.166569722199895,0.40074042159185896,2459075.8753935,V,True,88,81.24539350019768,V
259,3.089155100919751e-17,1.1674170837761502e-17,20.197855790752,0.4103091537673497,2459076.8753935,V,True,88,82.24539350019768,V
260,2.981220825842592e-17,1.1473516511715056e-17,20.23646995630159,0.417856594510907,2459077.8753935,V,True,88,83.24539350019768,V
261,2.8924177826019976e-17,1.1380814274359724e-17,20.26930190614702,0.4272056835113508,2459078.8753935,V,True,88,84.24539350019768,V
262,2.8738247501207414e-17,1.1436174860330684e-17,20.276303358850463,0.4320607840555205,2459079.8753935,V,True,88,85.24539350019768,V
263,2.934616677484427e-17,1.1420588605628797e-17,20.25357646448388,0.422534594234933,2459080.8753935,V,True,88,86.24539350019768,V
